宝贝关键词_2013-11-16全部数据,
关键词,平均搜索排名,展现量,点击量,点击率,入店次数,访客数,入店访问深度,跳失率,成交用户数,支付宝成交件数,支付宝成交金额,成交转化率,
铁观音浓香,296,10,1,0.1,1,1,1,1,0,0,0,0
安溪铁观音,248,35,1,0.0286,1,1,1,1,0,0,0,0
安溪铁观音茶叶,245,9,1,0.1111,1,1,2,0,0,0,0,0
安溪,211,2,1,0.5,1,1,1,1,0,0,0,0
秋茶铁观音茶叶正品浓香,114,2,1,0.5,1,1,1,1,0,0,0,0
铁观音 秋茶,59,5,1,0.2,1,1,1,1,0,0,0,0
铁观音秋茶,50,84,6,0.0714,6,5,1,0.8333,0,0,0,0
铁观音,48,837,24,0.0287,20,18,1,0.85,0,0,0,0
观音王,41,125,1,0.008,3,1,1,1,0,0,0,0
正宗安溪铁观音,34,91,1,0.011,1,1,1,1,0,0,0,0
"安溪铁观音茶农正品,直销",26,2,1,0.5,1,1,1,1,0,0,0,0
浓香型铁观音,24,75,2,0.0267,2,2,1,1,0,0,0,0
秋茶铁观音茶农直销,22,26,1,0.0385,1,1,1,1,0,0,0,0
铁观音 秋茶 浓香型,19,5,1,0.2,1,1,1,1,0,0,0,0
安溪铁观音茶农直销,18,140,2,0.0143,2,2,1,1,0,0,0,0
浓香型 铁观音 秋茶,17,9,2,0.2222,2,2,1,0.5,0,0,0,0
正宗安溪铁观音特级正品,14,3,1,0.3333,1,1,1,1,0,0,0,0
茶叶 正宗安溪铁观音 茶农直销,8,4,1,0.25,1,1,1,1,0,0,0,0
