宝贝关键词_2013-11-15全部数据,
关键词,平均搜索排名,展现量,点击量,点击率,入店次数,访客数,入店访问深度,跳失率,成交用户数,支付宝成交件数,支付宝成交金额,成交转化率,
铁观音　　三星　真空包,1168,2,1,0.5,1,1,1,1,0,0,0,0
安溪铁观音,187,5,1,0.2,1,1,1,1,0,0,0,0
铁观音,106,76,4,0.0526,3,2,1.33,0.3333,0,0,0,0
观音王,59,19,3,0.1579,3,3,1,1,0,0,0,0
铁观音茶,50,1,1,1,1,1,1,1,0,0,0,0
铁观音 秋茶,49,10,2,0.2,2,2,1.5,0.5,0,0,0,0
铁观音浓香 茶农,49,4,1,0.25,1,1,1,0,0,0,0,0
铁观音秋茶,49,124,3,0.0242,3,3,1,0.6667,0,0,0,0
安溪铁观音茶农直销 -有机,40,3,1,0.3333,1,1,1,1,0,0,0,0
正宗安溪铁观音,32,94,4,0.0426,3,3,1,1,0,0,0,0
浓香型铁观音,28,82,6,0.0732,6,5,1.33,0.8333,2,3,207,0.4
安溪铁观音茶农直销,21,148,6,0.0405,7,6,1,0.8571,0,0,0,0
安溪铁观音茶农直销 浓香型,17,5,1,0.2,1,1,1,1,0,0,0,0
秋茶铁观音茶农直销,16,30,3,0.1,3,2,1,0.6667,0,0,0,0
铁观音 茶农直销,10,6,2,0.3333,2,2,1.5,0.5,0,0,0,0
茶农直销铁观音,8,7,1,0.1429,1,1,1,0,0,0,0,0
正宗安溪铁观音茶叶正品 特级浓香型铁观音秋茶观音王茶农直销,1,5,1,0.2,1,1,2,0,0,0,0,0
