宝贝关键词_2013-11-17全部数据,
关键词,平均搜索排名,展现量,点击量,点击率,入店次数,访客数,入店访问深度,跳失率,成交用户数,支付宝成交件数,支付宝成交金额,成交转化率,
茶叶铁观音,304,7,1,0.1429,1,1,1,1,0,0,0,0
铁观音浓香特级,229,37,1,0.027,1,1,1,1,0,0,0,0
安溪铁观音,175,26,1,0.0385,1,1,1,1,0,0,0,0
铁观音正品茶叶 安溪铁观音,90,1,1,1,1,1,1,1,0,0,0,0
茶叶铁观音 浓香型,77,4,1,0.25,1,1,1,1,0,0,0,0
铁观音茶,49,32,1,0.0313,1,1,1,1,0,0,0,0
观音王 浓香 特级,39,13,1,0.0769,1,1,1,1,0,0,0,0
观音王,29,147,4,0.0272,5,4,1,0.6,0,0,0,0
茶叶茶农直销,27,1,1,1,1,1,1,1,0,0,0,0
铁观音铁观王,26,1,1,1,1,1,1,0,0,0,0,0
浓香铁观音型,25,1,1,1,1,1,1,0,0,0,0,0
铁观音,25,6560,235,0.0358,226,206,1.07,0.7345,10,11,759,0.0485
正宗铁观音,24,23,2,0.087,2,1,1,1,0,0,0,0
正宗铁观音茶叶,24,1,1,1,1,1,1,1,0,0,0,0
铁观音茶农,23,11,1,0.0909,1,1,1,0,0,0,0,0
浓香型铁观音,17,124,2,0.0161,2,2,1,1,0,0,0,0
铁观音 直销,17,8,1,0.125,1,1,1,1,0,0,0,0
安溪正品浓香特级铁观音秋茶,15,1,1,1,1,1,1,1,0,0,0,0
秋茶铁观音茶农直销,14,21,6,0.2857,6,3,1,1,0,0,0,0
安溪铁观音茶农直销,13,138,15,0.1087,14,10,1.14,0.9286,0,0,0,0
茶农直销安溪铁观音茶叶特级浓香型,7,1,2,2,2,1,1,1,0,0,0,0
安溪铁观音茶农直销 正宗,6,1,1,1,1,1,1,1,0,0,0,0
铁观音 茶农直销,6,29,2,0.069,2,1,1,1,0,0,0,0
